date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month
2022-06-14,19.0,11.8,25.8,0.0,0,44.0,8.2,24.1,1019.0,,06-Jun
2022-06-15,22.8,14.8,30.0,4.2,0,201.0,6.1,22.2,1016.3,,06-Jun
2022-06-16,23.2,17.4,29.0,0.0,0,225.0,7.5,33.3,1017.7,,06-Jun
2022-06-17,22.4,16.1,28.3,0.0,0,43.0,5.5,16.7,1021.7,,06-Jun
2022-06-18,24.7,17.0,32.2,0.0,0,75.0,5.9,24.1,1018.3,,06-Jun
2022-06-19,27.5,20.8,34.2,0.0,0,194.0,5.9,25.9,1009.9,,06-Jun
2022-06-20,25.6,19.5,31.5,0.0,0,260.0,8.7,35.2,1010.5,,06-Jun
2022-06-21,22.6,17.2,29.9,0.2,0,31.0,7.6,27.8,1011.3,,06-Jun
2022-06-22,19.4,15.4,23.8,6.6,0,146.0,4.8,16.7,1010.6,,06-Jun
2022-06-23,20.6,15.3,28.9,2.8,0,102.0,5.8,25.9,1011.0,,06-Jun
2022-06-24,16.6,13.7,21.6,22.6,0,225.0,7.9,35.2,1012.0,,06-Jun
2022-06-25,19.3,13.1,25.4,2.7,0,92.0,5.3,20.4,1013.3,,06-Jun
2022-06-26,21.4,15.0,28.6,0.0,0,50.0,5.2,18.5,1012.7,,06-Jun
2022-06-27,17.7,14.3,21.8,9.4,0,283.0,7.2,27.8,1015.8,,06-Jun
2022-06-28,16.6,13.0,19.5,0.0,0,37.0,7.3,24.1,1018.7,,06-Jun
2022-06-29,20.1,15.5,25.4,0.0,0,300.0,5.5,18.5,1013.9,,06-Jun
2022-06-30,20.3,12.4,27.3,24.4,0,33.0,5.4,25.9,1011.2,,06-Jun
2022-07-01,14.2,11.7,18.8,1.4,0,244.0,7.2,31.5,1020.1,,07-Jul
2022-07-02,18.3,11.3,25.1,0.0,0,52.0,6.9,22.2,1020.6,,07-Jul
2022-07-03,22.7,15.8,29.0,5.9,0,245.0,4.7,22.2,1018.4,,07-Jul
2022-07-04,19.4,16.8,25.2,4.7,0,252.0,5.7,22.2,1019.4,,07-Jul
2022-07-05,20.3,15.3,25.9,0.0,0,264.0,4.4,16.7,1020.1,,07-Jul
2022-07-06,19.9,14.7,25.3,0.0,0,336.0,6.5,24.1,1021.7,,07-Jul
2022-07-07,18.1,12.9,22.9,0.0,0,315.0,8.6,40.8,1023.1,,07-Jul
2022-07-08,18.2,14.1,23.3,0.0,0,32.0,6.9,22.2,1027.4,,07-Jul
2022-07-09,19.1,12.0,24.9,0.0,0,43.0,7.5,22.2,1025.1,,07-Jul
2022-07-10,18.9,14.8,24.2,0.0,0,17.0,5.9,24.1,1021.7,,07-Jul
2022-07-11,18.5,11.8,24.7,0.0,0,46.0,10.4,29.6,1021.2,,07-Jul
2022-07-12,19.8,13.9,26.9,0.0,0,49.0,8.0,24.1,1022.3,,07-Jul
2022-07-13,22.8,14.2,30.8,0.0,0,1.0,5.6,18.5,1021.4,,07-Jul
2022-07-14,26.2,20.6,32.7,0.0,0,219.0,7.3,29.6,1017.5,,07-Jul
2022-07-15,22.6,18.2,28.0,0.0,0,8.0,7.1,27.8,1017.4,,07-Jul
2022-07-16,21.6,15.2,27.4,0.0,0,35.0,8.0,24.1,1019.5,,07-Jul
2022-07-17,21.9,14.7,28.9,0.0,0,45.0,9.8,27.8,1022.2,,07-Jul
2022-07-18,24.0,15.9,32.0,0.0,0,52.0,7.2,22.2,1021.4,,07-Jul
2022-07-19,25.6,17.3,34.3,0.0,0,50.0,6.0,16.7,1016.8,,07-Jul
2022-07-20,24.4,18.2,32.6,16.1,0,222.0,6.5,27.8,1016.9,,07-Jul
2022-07-21,22.3,18.4,27.6,0.0,0,273.0,5.7,22.2,1020.1,,07-Jul
2022-07-22,24.3,16.6,32.2,2.2,0,50.0,6.2,27.8,1016.5,,07-Jul
2022-07-23,20.8,17.7,25.9,6.9,0,213.0,5.6,18.5,1017.8,,07-Jul
2022-07-24,23.7,17.8,29.8,0.0,0,60.0,4.7,18.5,1017.4,,07-Jul
2022-07-25,26.2,19.5,34.0,0.3,0,219.0,8.8,42.6,1012.7,,07-Jul
2022-07-26,21.3,17.2,25.0,0.6,0,265.0,7.4,27.8,1015.6,,07-Jul
2022-07-27,20.4,15.3,25.9,0.0,0,24.0,6.1,20.4,1014.7,,07-Jul
